City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,new martinsville,39.6445,-80.8576,18.78,95,99,0.45,US,1694972110
215,port alfred,-33.5906,26.891,12.32,79,4,1.34,ZA,1694972110
216,yulinshi,38.2906,109.7494,19.54,50,98,1.9,CN,1694972110
217,isangel,-19.55,169.2667,22.31,88,98,5.75,VU,1694972056
218,bel ombre,-4.6167,55.4167,26.91,83,20,7.2,SC,1694971869
219,sakaiminato,35.55,133.2333,24.99,100,75,1.54,JP,1694972110
220,rodino,52.5,80.25,15.29,75,92,1.54,RU,1694972111
221,tonning,54.3167,8.95,21.1,82,100,4.86,DE,1694972111
222,afaahiti,-17.75,-149.2833,24.93,84,14,5.86,PF,1694972111
223,inhambane,-23.865,35.3833,22.99,68,75,8.23,MZ,1694972111
224,madang,-5.2246,145.7966,24.38,84,100,0.77,PG,1694971870
225,moree,-29.4667,149.85,15.28,40,0,3.32,AU,1694972111
226,zhangjiajie,29.1294,110.4783,26.22,74,81,0.73,CN,1694971880
227,ceeldheer,3.8488,47.1806,25.3,78,87,8.73,SO,1694972112
228,ko pha ngan,9.7578,100.0291,25.62,76,100,3.66,TH,1694972112
229,queenstown,-31.8976,26.8753,9.99,42,0,2.26,ZA,1694971979
230,saipan,15.1355,145.701,27.39,89,20,2.57,MP,1694972112
231,djibo,14.1022,-1.6306,35.89,32,39,3.52,BF,1694972112
232,kapuskasing,49.4169,-82.4331,10.05,93,100,4.12,CA,1694972112
233,saint-joseph,-21.3667,55.6167,22.21,77,38,1.69,RE,1694972112
234,yerofey pavlovich,53.9667,121.9667,7.71,97,100,0.66,RU,1694972113
235,altamont,42.2068,-121.7372,22.66,49,0,2.06,US,1694971872
236,zambezi,-13.5432,23.1047,26.38,19,25,1.24,ZM,1694971960
237,yamada,39.4667,141.95,23.22,93,10,2.29,JP,1694971872
238,zuunmod,47.7069,106.9528,6.57,95,98,2.12,MN,1694972113
239,sampit,-2.5333,112.95,24.04,97,99,1.05,ID,1694972113
240,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,76,75,3.0,RU,1694972113
241,bayanhongor,46.7167,100.1167,0.83,83,99,1.93,MN,1694972114
242,midvagur,62.0511,-7.1939,11.46,87,100,6.17,FO,1694972114
243,krasnapollye,53.3337,31.4014,13.57,77,6,3.0,BY,1694972114
244,lillehammer,61.1146,10.4674,7.79,90,50,2.0,NO,1694972114
245,kulhudhuffushi,6.6221,73.07,27.31,78,100,5.04,MV,1694971873
246,el granada,37.5027,-122.4694,23.11,74,75,4.12,US,1694971873
247,yorkton,51.2167,-102.4677,18.91,59,0,5.66,CA,1694972114
248,shiyan,32.6475,110.7781,22.28,97,100,1.09,CN,1694972115
249,zapolyarnyy,69.4154,30.8136,5.6,92,100,4.15,RU,1694972115
250,sisimiut,66.9395,-53.6735,3.49,68,63,2.74,GL,1694972115
251,kuqa,41.7278,82.9364,21.6,36,38,2.35,CN,1694972115
252,amga,60.8953,131.9608,-1.36,82,90,1.72,RU,1694971875
253,burang,30.25,81.1667,8.03,96,100,1.97,CN,1694972115
254,vorkuta,67.5,64.0,4.06,78,95,4.06,RU,1694972058
255,mancio lima,-7.6142,-72.8958,33.04,58,75,0.0,BR,1694972116
256,karema,-6.8205,30.4389,25.54,56,26,2.22,TZ,1694972116
257,rio branco do sul,-25.19,-49.3142,31.25,38,0,2.56,BR,1694972116
258,mermoz boabab,14.7065,-17.4758,29.88,79,40,4.12,SN,1694972116
259,tuncurry,-32.1667,152.5,15.07,47,0,1.71,AU,1694972116
260,mount pleasant,32.7941,-79.8626,27.22,97,100,5.66,US,1694972116
261,sarkad,46.75,21.3833,22.31,67,25,3.09,HU,1694972117
262,fortuna,40.5982,-124.1573,14.43,96,100,0.0,US,1694972117
263,san sebastian de la gomera,28.0916,-17.1133,27.2,65,40,2.06,ES,1694972108
264,mponela,-13.5319,33.7401,22.21,33,2,2.9,MW,1694972117
265,holualoa,19.6228,-155.9522,24.32,78,20,2.06,US,1694972117
266,kindu,-2.95,25.95,23.52,78,99,1.45,CD,1694972117
267,coquimbo,-29.9533,-71.3436,15.85,77,75,6.17,CL,1694971877
268,"laikit, laikit ii (dimembe)",1.4792,124.9735,23.47,83,20,2.57,ID,1694972117
269,sonoita,31.85,-112.8333,33.22,16,0,3.49,MX,1694972118
270,snyder,32.7179,-100.9176,27.4,53,0,1.54,US,1694972118
271,hammerfest,70.6634,23.6821,6.25,81,75,6.69,NO,1694972118
272,tarfaya,27.9358,-12.9218,23.04,80,35,9.13,MA,1694971859
273,qujing,25.4833,103.7833,14.98,97,42,1.33,CN,1694972118
274,new plymouth,-39.0667,174.0833,12.4,91,84,7.99,NZ,1694971878
275,tralee,52.2704,-9.7026,15.14,94,100,3.09,IE,1694971904
276,muroto-misakicho,33.2833,134.15,26.53,81,2,1.03,JP,1694971878
277,vadso,70.0744,29.7487,6.49,93,75,3.6,NO,1694972119
278,benguela,-12.5763,13.4055,21.45,92,74,2.18,AO,1694972119
279,labuan,5.2767,115.2417,25.2,88,40,5.66,MY,1694972119
280,knyaze-volkonskoye,48.4642,135.4567,10.19,87,51,1.36,RU,1694972119
281,bamboo flat,11.7,92.7167,26.05,89,100,3.6,IN,1694971879
282,mokshan,53.4365,44.6132,13.23,75,59,2.9,RU,1694972119
283,fale old settlement,-9.3852,-171.2468,28.32,79,84,7.24,TK,1694972120
284,ardestan,33.3761,52.3694,25.71,25,0,3.86,IR,1694972120
285,chunskiy,56.0815,99.6342,8.3,80,31,0.4,RU,1694972120
286,acapulco de juarez,16.8634,-99.8901,28.9,70,100,1.54,MX,1694971880
287,adrar,20.5022,-10.0711,37.59,23,76,1.02,MR,1694971880
288,pukchil-lodongjagu,40.2019,125.7483,17.77,97,64,0.45,KP,1694972120
289,aral,40.5156,81.2636,21.2,26,5,4.18,CN,1694972120
290,nar'yan-mar,67.6713,53.087,4.56,81,25,3.43,RU,1694972120
291,hulan,45.9833,126.6,19.06,97,86,3.07,CN,1694972121
292,zhigalovo,54.8097,105.1578,12.14,81,78,1.33,RU,1694972121
293,bahraigh,27.5833,81.6,27.38,84,100,1.6,IN,1694972121
294,fort bragg,35.139,-79.006,25.75,69,100,3.09,US,1694972121
295,toliara,-23.35,43.6667,22.86,88,1,4.05,MG,1694971881
296,tweed heads,-28.1817,153.547,17.02,83,40,3.09,AU,1694972121
297,xilin hot,43.9667,116.0333,11.6,82,65,2.69,CN,1694972121
298,el galpon,-25.3807,-64.6526,35.64,22,0,3.77,AR,1694972122
299,sault ste. marie,46.5168,-84.3333,16.16,76,100,5.66,CA,1694972122
300,pangoa,-12.1167,-73.0,32.19,43,58,1.23,PE,1694971882
301,aykhal,66.0,111.5,-5.18,98,65,2.34,RU,1694972122
302,zawiercie,50.4877,19.4168,21.22,85,95,1.25,PL,1694972265
303,ocean shores,46.9737,-124.1563,18.54,85,40,3.09,US,1694972122
304,margate,51.3813,1.3862,21.06,86,95,1.34,GB,1694972122
305,khandyga,62.6667,135.6,1.86,97,100,2.09,RU,1694972123
306,al qusayr,34.5091,36.5798,23.04,51,0,1.56,SY,1694972123
307,bozeman,45.6796,-111.0386,24.68,35,0,0.45,US,1694972123
308,tsiombe,-25.3,45.4833,21.61,87,0,2.44,MG,1694971883
309,progreso,21.2833,-89.6667,34.06,75,0,3.94,MX,1694972123
310,itaituba,-4.2761,-55.9836,35.09,49,40,2.02,BR,1694972123
311,tazacorte,28.629,-17.9293,24.54,74,75,5.14,ES,1694972123
312,downpatrick,54.3263,-5.7035,15.72,90,97,3.16,GB,1694972124
313,champerico,14.3,-91.9167,33.3,57,32,4.39,GT,1694972124
314,san martin de los andes,-40.1604,-71.3486,4.25,73,95,1.79,AR,1694972124
315,kerikeri,-35.2268,173.9474,11.06,91,7,0.45,NZ,1694972124
316,ulanhot,46.0833,122.0833,14.07,93,100,1.25,CN,1694972124
317,portland,45.5234,-122.6762,20.23,64,75,2.06,US,1694972124
318,port saint john's,-31.6229,29.5448,14.74,66,12,0.94,ZA,1694972125
319,taruma,-22.7467,-50.5772,36.9,19,0,2.63,BR,1694972125
320,alaghsas,17.0187,8.0168,37.94,28,40,2.57,NE,1694972125
321,kashmar,35.2383,58.4656,25.98,18,0,2.06,IR,1694971845
322,tabora,-5.0167,32.8,28.78,25,99,1.26,TZ,1694972125
323,taoudenni,22.6783,-3.9836,42.16,13,22,5.99,ML,1694972125
324,bandarbeyla,9.4942,50.8122,25.72,79,38,12.45,SO,1694972125
325,ain taya,36.7933,3.2869,26.91,65,75,2.06,DZ,1694971885
326,la passe,45.5549,-0.8967,22.13,88,100,1.13,FR,1694972126
327,floro,61.5996,5.0328,15.04,71,0,0.0,NO,1694972126
328,thunder bay,48.4001,-89.3168,13.99,72,100,4.12,CA,1694972126
329,nagqu,31.5,92.0,2.65,97,96,2.52,CN,1694971886
330,zouerate,22.7187,-12.4521,36.32,27,54,1.31,MR,1694971886
331,jwaneng,-24.6004,24.7303,18.99,12,0,2.97,BW,1694972126
332,sambalpur,21.45,83.9667,25.55,89,99,1.68,IN,1694972126
333,alesund,62.4723,6.1549,12.83,73,0,4.12,NO,1694972094
334,kovalam,8.3667,76.9967,28.05,78,75,0.0,IN,1694972127
335,lishu,43.3047,124.3278,17.13,88,83,4.03,CN,1694972127
336,gambiran satu,-8.3939,114.1464,21.04,97,61,0.63,ID,1694972127
337,callao,-12.0667,-77.15,22.16,64,40,4.63,PE,1694971857
338,jiayuguan,39.8167,98.3,12.94,35,69,2.98,CN,1694972127
339,punta cana,18.5818,-68.4043,31.87,62,20,5.14,DO,1694972127
340,ambon,-3.6954,128.1814,26.04,17,40,2.06,ID,1694972128
341,jumla,29.2747,82.1838,16.19,92,100,1.27,NP,1694972128
342,albertina,-22.2008,-46.6158,32.17,23,13,0.84,BR,1694972128
343,pisco,-13.7,-76.2167,21.03,68,0,5.66,PE,1694971888
344,dudinka,69.4058,86.1778,4.79,76,100,4.17,RU,1694972128
345,lakatoro,-16.0999,167.4164,22.79,88,22,2.88,VU,1694972128
346,new norfolk,-42.7826,147.0587,9.4,89,54,1.93,AU,1694972129
347,south venice,27.0531,-82.4243,33.92,75,20,4.63,US,1694972129
348,tura,25.5198,90.2201,24.69,87,38,1.39,IN,1694972129
349,utrik,11.2278,169.8474,28.74,80,100,9.13,MH,1694972129
350,solnechnyy,50.7214,136.6319,8.87,85,74,1.03,RU,1694971881
351,sumter,28.7086,-82.0831,32.83,69,21,3.7,US,1694971889
352,siverek,37.755,39.3167,25.91,20,0,1.97,TR,1694971954
353,prado,-17.3411,-39.2208,25.92,65,15,4.05,BR,1694972129
354,ta`u,-14.2336,-169.5144,26.62,83,86,8.68,AS,1694972130
355,magdagachi,53.45,125.8,7.81,99,100,1.23,RU,1694972130
356,fort mcmurray,56.7268,-111.381,18.73,48,0,5.14,CA,1694971983
357,sao vicente,-23.9631,-46.3919,37.1,69,0,1.54,BR,1694971888
358,blair,41.5444,-96.125,22.9,54,0,2.57,US,1694972130
359,nahiyat ash shinafiyah,31.5874,44.6602,34.4,14,0,3.9,IQ,1694972130
360,north bend,43.4065,-124.2243,17.31,100,40,0.0,US,1694971891
361,port lincoln,-34.7333,135.8667,14.15,83,97,4.62,AU,1694972131
362,mao,39.8885,4.2658,28.31,78,0,2.06,ES,1694972131
